file;line;hex;nearest_target_class;nearest_target_distance;context
src/styles.css;2545;#8E7A4D;Grünland;51.57;"egend] .legend-thuenen-mf, [data-map-legend] .legend-thuenen-mf { background: #8E7A4D !important; background-color: #8E7A4D !important; } .central-map-legend .leg"
src/styles.css;2546;#8E7A4D;Grünland;51.57;"end] .legend-thuenen-mf { background: #8E7A4D !important; background-color: #8E7A4D !important; } .central-map-legend .legend-thuenen-nh, .central-stage-legend .l"
src/styles.css;2554;#2F6B4F;Grünland;60.21;"egend] .legend-thuenen-nh, [data-map-legend] .legend-thuenen-nh { background: #2F6B4F !important; background-color: #2F6B4F !important; } .central-map-legend .leg"
src/styles.css;2555;#2F6B4F;Grünland;60.21;"end] .legend-thuenen-nh { background: #2F6B4F !important; background-color: #2F6B4F !important; } .central-map-legend .legend-thuenen-tief-hh, .central-stage-lege"
src/styles.css;2563;#8A5A63;Dauerkultur / Sondernutzung;59.03;"gend-thuenen-tief-hh, [data-map-legend] .legend-thuenen-tief-hh { background: #8A5A63 !important; background-color: #8A5A63 !important; } .central-map-legend .leg"
src/styles.css;2564;#8A5A63;Dauerkultur / Sondernutzung;59.03;".legend-thuenen-tief-hh { background: #8A5A63 !important; background-color: #8A5A63 !important; } .central-map-legend .legend-thuenen-tief-nh, .central-stage-lege"
src/styles.css;2572;#1F7A5C;Grünland;69.72;"gend-thuenen-tief-nh, [data-map-legend] .legend-thuenen-tief-nh { background: #1F7A5C !important; background-color: #1F7A5C !important; } .central-map-legend .leg"
src/styles.css;2573;#1F7A5C;Grünland;69.72;".legend-thuenen-tief-nh { background: #1F7A5C !important; background-color: #1F7A5C !important; } .central-map-legend .legend-thuenen-flach-hh, .central-stage-leg"
src/styles.css;2581;#9B7F8D;Dauerkultur / Sondernutzung;43.39;"nd-thuenen-flach-hh, [data-map-legend] .legend-thuenen-flach-hh { background: #9B7F8D !important; background-color: #9B7F8D !important; } .central-map-legend .leg"
src/styles.css;2582;#9B7F8D;Dauerkultur / Sondernutzung;43.39;"legend-thuenen-flach-hh { background: #9B7F8D !important; background-color: #9B7F8D !important; } .central-map-legend .legend-thuenen-flach-nh, .central-stage-leg"
src/styles.css;2590;#6F9A78;Grünland;49.93;"nd-thuenen-flach-nh, [data-map-legend] .legend-thuenen-flach-nh { background: #6F9A78 !important; background-color: #6F9A78 !important; } .central-map-legend .leg"
src/styles.css;2591;#6F9A78;Grünland;49.93;"legend-thuenen-flach-nh { background: #6F9A78 !important; background-color: #6F9A78 !important; } .central-map-legend .legend-thuenen-maechtig-hh, .central-stage-"
src/styles.css;2599;#B08B6C;Ackerland;58.27;"enen-maechtig-hh, [data-map-legend] .legend-thuenen-maechtig-hh { background: #B08B6C !important; background-color: #B08B6C !important; } .central-map-legend .leg"
src/styles.css;2600;#B08B6C;Ackerland;58.27;"end-thuenen-maechtig-hh { background: #B08B6C !important; background-color: #B08B6C !important; } .central-map-legend .legend-thuenen-maechtig-nh, .central-stage-"
src/styles.css;2608;#B7A15A;Ackerland;59.88;"enen-maechtig-nh, [data-map-legend] .legend-thuenen-maechtig-nh { background: #B7A15A !important; background-color: #B7A15A !important; } /* B55 robust original l"
src/styles.css;2609;#B7A15A;Ackerland;59.88;"end-thuenen-maechtig-nh { background: #B7A15A !important; background-color: #B7A15A !important; } /* B55 robust original legend layout for inline Thuenen swatches"
src/styles.css;2838;#F5EFE6;Dauerkultur / Sondernutzung;195.98;"15, 137, 0.34); } /* B79 German presentation version */ :root { --b79-paper: #F5EFE6; --b79-paper-soft: #FFFCF7; --b79-ink: #221D18; --b79-lead: #3B3129; --"
src/styles.css;2839;#FFFCF7;Dauerkultur / Sondernutzung;217.69;"man presentation version */ :root { --b79-paper: #F5EFE6; --b79-paper-soft: #FFFCF7; --b79-ink: #221D18; --b79-lead: #3B3129; --b79-muted: #776A5D; --b79-l"
src/styles.css;2840;#221D18;Schnittmenge;51.96;"on */ :root { --b79-paper: #F5EFE6; --b79-paper-soft: #FFFCF7; --b79-ink: #221D18; --b79-lead: #3B3129; --b79-muted: #776A5D; --b79-line: #DED4C7; --b79-"
src/styles.css;2841;#3B3129;Schnittmenge;57.39;"aper: #F5EFE6; --b79-paper-soft: #FFFCF7; --b79-ink: #221D18; --b79-lead: #3B3129; --b79-muted: #776A5D; --b79-line: #DED4C7; --b79-accent: #1F4E5F; --b7"
src/styles.css;2842;#776A5D;Grünland;48.02;"aper-soft: #FFFCF7; --b79-ink: #221D18; --b79-lead: #3B3129; --b79-muted: #776A5D; --b79-line: #DED4C7; --b79-accent: #1F4E5F; --b79-ocker: #C8901A; --b7"
src/styles.css;2843;#DED4C7;Dauerkultur / Sondernutzung;152.61;"-b79-ink: #221D18; --b79-lead: #3B3129; --b79-muted: #776A5D; --b79-line: #DED4C7; --b79-accent: #1F4E5F; --b79-ocker: #C8901A; --b79-salbei: #7A8B74; --"
src/styles.css;2844;#1F4E5F;Schnittmenge;52.64;"9-lead: #3B3129; --b79-muted: #776A5D; --b79-line: #DED4C7; --b79-accent: #1F4E5F; --b79-ocker: #C8901A; --b79-salbei: #7A8B74; --b79-rost: #A65041; } htm"
src/styles.css;2845;#C8901A;Ackerland;50.26;"-muted: #776A5D; --b79-line: #DED4C7; --b79-accent: #1F4E5F; --b79-ocker: #C8901A; --b79-salbei: #7A8B74; --b79-rost: #A65041; } html, body { background:"
src/styles.css;2846;#7A8B74;Grünland;50.09;"line: #DED4C7; --b79-accent: #1F4E5F; --b79-ocker: #C8901A; --b79-salbei: #7A8B74; --b79-rost: #A65041; } html, body { background: radial-gradient(circl"
src/styles.css;2847;#A65041;Ackerland;44.64;"accent: #1F4E5F; --b79-ocker: #C8901A; --b79-salbei: #7A8B74; --b79-rost: #A65041; } html, body { background: radial-gradient(circle at 15% 4%, rgba(200,"
src/styles.css;2902;#8A5E11;Ackerland;78.06;"clamp(72px, 9vw, 128px); } .hero .kicker, .section-kicker, .kicker { color: #8A5E11 !important; letter-spacing: 0.13em; text-transform: uppercase; font-weigh"
src/styles.css;3150;#221D18;Schnittmenge;51.96;"al-map-step h3, #centralGlobalMapStory article[data-global-state] h3 { color: #221D18 !important; line-height: 1.15; letter-spacing: -0.018em; } #centralGlobalM"
src/styles.css;3157;#5F554B;Grünland;58.01;"tral-map-step p, #centralGlobalMapStory article[data-global-state] p { color: #5F554B !important; line-height: 1.45; } /* Map stage: retain the dark PNG maps but"
src/styles.css;3176;#776A5D;Grünland;48.02;"ntralGlobalMapStory .source-line, #centralGlobalMapStory .map-source { color: #776A5D !important; font-size: 0.76rem !important; letter-spacing: 0.01em; } /* Se"
src/styles.css;3245;#9BAE56;Grünland;68.59;"yebrow { display: block !important; margin: 0 0 18px 0 !important; color: #9BAE56 !important; letter-spacing: 0.14em !important; text-transform: uppercase !i"
src/styles.css;3256;#221D18;Schnittmenge;51.96;"rtant; max-width: 900px !important; margin: 0 0 22px 0 !important; color: #221D18 !important; font-size: clamp(3rem, 6.4vw, 5.4rem) !important; line-height:"
src/styles.css;3268;#3B3129;Schnittmenge;57.39;"rtant; max-width: 780px !important; margin: 0 0 34px 0 !important; color: #3B3129 !important; font-size: clamp(1.18rem, 1.8vw, 1.55rem) !important; line-heig"
src/styles.css;3314;#221D18;Schnittmenge;51.96;"tant; font-size: 0.98rem !important; line-height: 1.15 !important; color: #221D18 !important; } #problem .b79-claim-grid p { margin: 0 !important; font-size"
src/styles.css;3321;#5F554B;Grünland;58.01;"tant; font-size: 0.96rem !important; line-height: 1.36 !important; color: #5F554B !important; } /* Central map steps and other cards: no overflow outside their"
src/styles.css;3395;#F5EFE6;Dauerkultur / Sondernutzung;195.98;"tant; gap: 22px !important; background: color-mix(in srgb, var(--b79-paper, #F5EFE6) 92%, white) !important; border-bottom: 1px solid var(--b79-line, #DED4C7) !i"
src/styles.css;3396;#DED4C7;Dauerkultur / Sondernutzung;152.61;"er, #F5EFE6) 92%, white) !important; border-bottom: 1px solid var(--b79-line, #DED4C7) !important; box-shadow: none !important; overflow: visible !important; }"
src/styles.css;3419;#221D18;Schnittmenge;51.96;"-items: center !important; flex: 0 0 auto !important; color: var(--b79-ink, #221D18) !important; font-weight: 760 !important; letter-spacing: -0.02em !importan"
src/styles.css;3434;#776A5D;Grünland;48.02;"vw, 24px) !important; margin-left: auto !important; color: var(--b79-muted, #776A5D) !important; font-size: 0.92rem !important; line-height: 1 !important; } h"
src/styles.css;3441;#776A5D;Grünland;48.02;"header.site-header nav a, .b82-compact-header nav a { color: var(--b79-muted, #776A5D) !important; white-space: nowrap !important; } header.site-header nav a:hove"
